Cantidad (en UM de inventario),VentaNeta,CodCliente,Número de documento,ItemCode,CodVendedor,Código de almacén de línea,Fecha,Descripción del artículo,CanalDeVenta,Kilombos
12,2995.171278,C76750625,1042125,100401405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,2.4
12,2995.17074,C76750625,1042156,100401405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,2.4
-12,-2995.171278,C76750625,1042128,100401405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,-2.4
1,2983,C76891477,1053054,100401405101,38,B34,18-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.2
2,4176,C0020,780058,100401405101,11,B34,19-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.4
3,8949,C0020,779598,100401405101,11,B34,19-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.6
9,2970,C13372399,1069351,100401405101,1,B31,21-Sep-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,1.8
-60,-116344,C77031365,1005095,100401405101,38,B34,22-Nov-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,-12
10,20882.6355,C16376951,1065252,100401405101,11,B41,5-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,2
30,58172,C76047944,1038514,100401405101,4,B30,14-Jul-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1041080,100401405101,4,B30,28-Aug-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,76829023,1041195,100401405101,4,B30,31-Aug-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1042728,100401405101,4,B30,25-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76942123,1043162,100401405101,4,B30,2-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1044398,100401405101,4,B30,23-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76942123,1046832,100401405101,4,B30,1-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,57995.99236,C76825371,1050230,100401405101,4,B30,26-Jan-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,52356.3133,C76825371,1052821,100401405101,4,B30,16-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76116617,1052869,100401405101,4,B30,16-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,52354.8796,C76825371,1053272,100401405101,4,B30,22-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1053772,100401405101,4,B30,31-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77169741,1054004,100401405101,4,B30,5-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1054250,100401405101,4,B30,9-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50421,C76788651,1055146,100401405101,4,B30,20-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1055569,100401405101,4,B30,27-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76863576,1056947,100401405101,4,B30,13-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1057243,100401405101,4,B30,18-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,52355,C76825371,1061082,100401405101,4,B30,23-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1061682,100401405101,4,B30,30-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1063183,100401405101,4,B30,14-Jul-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,52355,C76825371,1066307,100401405101,4,B30,17-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1068314,100401405101,4,B30,8-Sep-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76116617,1070373,100401405101,4,B30,4-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,52355,C76825371,1072049,100401405101,4,B30,21-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76116617,1073015,100401405101,4,B30,3-Nov-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76047944,1073930,100401405101,4,B30,17-Nov-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172.38021,T00000377,1037850,100401405101,38,B30,1-Jul-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,T00000581,1037934,100401405101,38,B30,2-Jul-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50421,T00000377,1040669,100401405101,38,B30,21-Aug-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000044,1041487,100401405101,38,B30,3-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000377,1043568,100401405101,38,B30,8-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50421,T00000377,1045334,100401405101,38,B30,6-Nov-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77155814,1047422,100401405101,38,B30,7-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000044,1047436,100401405101,38,B30,7-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50421,T00000377,1047439,100401405101,38,B30,7-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000044,1051482,100401405101,38,B30,19-Feb-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000377,1053523,100401405101,38,B30,26-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77190906,1054033,100401405101,38,B30,5-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,T00000044,1054091,100401405101,38,B30,6-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58173,T00000044,1059066,100401405101,38,B30,2-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77251055,1065219,100401405101,38,B30,5-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,T00000044,1070714,100401405101,38,B30,5-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,57990,C76825371,1034285,100401405101,95,B30,16-Apr-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,57990,C76825371,1036408,100401405101,95,B30,2-Jun-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76673946,1039525,100401405101,11,B30,4-Aug-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77196968,1042086,100401405101,11,B30,14-Sep-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77210468,1043066,100401405101,11,B30,1-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,57996,C76825371,1043820,100401405101,95,B30,14-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77196968,1046029,100401405101,11,B30,18-Nov-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,57996,C76825371,1046803,100401405101,95,B30,1-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77166245,1053740,100401405101,70,B30,30-Mar-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
60,116345,C76047944,1059601,100401405101,4,B30,8-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
30,50420,C76673946,1054610,100401405101,11,B30,12-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,50420,C77120582,1054472,100401405101,11,B30,12-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77166245,1055998,100401405101,70,B30,4-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77196968,1057405,100401405101,11,B30,19-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C7993626,1061288,100401405101,62,B30,24-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58173,C9082824,1061615,100401405101,11,B30,29-Jun-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76673946,1063053,100401405101,11,B30,13-Jul-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77210468,1064920,100401405101,11,B30,3-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77332895,1065317,100401405101,62,B30,6-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77196968,1065339,100401405101,11,B30,6-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77353314,1067230,100401405101,62,B30,26-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C76673946,1067865,100401405101,11,B30,2-Sep-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C7993626,1071541,100401405101,62,B30,14-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77332895,1071503,100401405101,62,B30,14-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77095709,1072328,100401405101,62,B30,26-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,58172,C77332895,1073737,100401405101,62,B30,12-Nov-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
60,116345,C76673946,1043529,100401405101,11,B30,8-Oct-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116344,C76608229,1066231,100401405101,62,B30,16-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116346,C76047944,1036282,100401405101,4,B30,29-May-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116345,C76047944,1045289,100401405101,4,B30,6-Nov-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116345,C76047944,1047706,100401405101,4,B30,16-Dec-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116344,C76047944,1049995,100401405101,4,B30,20-Jan-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
-30,-58172,C77169741,1004227,100401405101,4,B30,7-May-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,-6
30,50420,T00000377,1052105,100402405101,38,B30,3-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
7,1747.182931,C76750625,1042156,100402405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,1.4
-7,-1747.183245,C76750625,1042128,100402405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,-1.4
1,2983,C76891477,1053054,100402405101,38,B34,18-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,0.2
1,2983,C0020,779472,100402405101,11,B34,19-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,0.2
1,2983,T00000713,1057474,100402405101,11,B34,19-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,0.2
10,19392.49825,C0020,424619,100402405101,38,B34,30-Jun-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,2
30,55311,C76116617,1044833,100402405101,4,B30,30-Oct-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55310,C76047944,1046437,100402405101,4,B30,25-Nov-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1046436,100402405101,4,B30,25-Nov-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1048315,100402405101,4,B30,29-Dec-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76788651,1050740,100402405101,4,B30,4-Feb-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76788651,1053003,100402405101,4,B30,18-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1054250,100402405101,4,B30,9-Apr-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1057243,100402405101,4,B30,18-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,57996,C76825371,1057819,100402405101,4,B30,25-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76788651,1058157,100402405101,4,B30,27-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76116617,1060500,100402405101,4,B30,16-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77536230,1060845,100402405101,4,B30,18-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76788651,1061669,100402405101,4,B30,30-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77536230,1063210,100402405101,4,B30,14-Jul-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1063713,100402405101,4,B30,21-Jul-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1064156,100402405101,4,B30,27-Jul-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1066734,100402405101,4,B30,20-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,49780,C76825371,1066894,100402405101,4,B30,24-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1068160,100402405101,4,B30,6-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76047944,1068314,100402405101,4,B30,8-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1069583,100402405101,4,B30,23-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76116617,1070373,100402405101,4,B30,4-Oct-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1071616,100402405101,4,B30,14-Oct-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76116617,1073015,100402405101,4,B30,3-Nov-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1073787,100402405101,4,B30,15-Nov-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77158644,1075007,100402405101,4,B30,3-Dec-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311.36152,T00000377,1037850,100402405101,38,B30,1-Jul-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000581,1037934,100402405101,38,B30,2-Jul-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,50420,T00000377,1040669,100402405101,38,B30,21-Aug-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
1,2983,C0020,421377,100402405101,38,B34,22-Jun-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,0.2
30,50420,T00000377,1041826,100402405101,38,B30,9-Sep-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76670794,1043108,100402405101,38,B30,1-Oct-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,50420,T00000377,1045334,100402405101,38,B30,6-Nov-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,50420,T00000377,1048169,100402405101,38,B30,23-Dec-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
7,1747.183245,C76750625,1042125,100402405101,1,B31,14-Sep-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,1.4
30,50420,T00000377,1053523,100402405101,38,B30,26-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77190906,1054033,100402405101,38,B30,5-Apr-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000351,1055857,100402405101,38,B30,29-Apr-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000351,1059718,100402405101,38,B30,9-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76851659,1060993,100402405101,38,B30,22-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000581,1063177,100402405101,38,B30,14-Jul-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000351,1065980,100402405101,38,B30,12-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76851659,1067113,100402405101,38,B30,25-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C76851659,1070146,100402405101,38,B30,30-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,T00000351,1070227,100402405101,38,B30,30-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55470,C76825371,1034285,100402405101,95,B30,16-Apr-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55470,C7148980,1034737,100402405101,95,B30,28-Apr-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,57990,C76825371,1035911,100402405101,95,B30,20-May-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,57996,C76825371,1044568,100402405101,95,B30,27-Oct-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,57996,C76825371,1046803,100402405101,95,B30,1-Dec-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77196968,1051737,100402405101,11,B30,25-Feb-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77196968,1057405,100402405101,11,B30,19-May-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77332895,1060053,100402405101,62,B30,11-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C7993626,1061288,100402405101,62,B30,24-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77097008,1061666,100402405101,11,B30,30-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77332895,1065317,100402405101,62,B30,6-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77196968,1065339,100402405101,11,B30,6-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77353314,1067230,100402405101,62,B30,26-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77332895,1071503,100402405101,62,B30,14-Oct-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C7993626,1071541,100402405101,62,B30,14-Oct-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77095709,1072328,100402405101,62,B30,26-Oct-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
30,55311,C77332895,1073737,100402405101,62,B30,12-Nov-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
60,110622,C76047944,1049995,100402405101,4,B30,20-Jan-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,99559.95137,C76825371,1053272,100402405101,4,B30,22-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76047944,1053772,100402405101,4,B30,31-Mar-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76047944,1059601,100402405101,4,B30,8-Jun-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76047944,1063183,100402405101,4,B30,14-Jul-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76788651,1065590,100402405101,4,B30,10-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76116617,1065945,100402405101,4,B30,12-Aug-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76047944,1069455,100402405101,4,B30,22-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,C76047944,1073930,100402405101,4,B30,17-Nov-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,99560,C76825371,1074919,100402405101,4,B30,2-Dec-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,T00000377,1055824,100402405101,38,B30,29-Apr-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
60,110622,T00000377,1068996,100402405101,38,B30,14-Sep-21,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,12
30,47100,C76825371,1033084,100402405101,95,B33,17-Mar-20,Almendra Cubierta Con Chocolate De Leche Bl 200Gr.,Televenta,6
1,10168,C0020,423222,100401408102,38,B34,25-Jun-20,Almendra Cubiertas Con Chocolate Bitter Bl 1 Kg.,Televenta,1
5,43487,C76932601,1040812,100401409101,11,B30,25-Aug-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C76990508,1040799,100401409101,11,B30,25-Aug-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43488,C17537118,1042309,100401409101,11,B30,16-Sep-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C76069748,1042674,100401409101,11,B30,24-Sep-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C10981691,1043102,100401409101,11,B30,1-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C9527805,1043293,100401409101,11,B30,6-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C76920196,1043306,100401409101,11,B30,6-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C76932601,1043891,100401409101,11,B30,15-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C76371937,1044305,100401409101,11,B30,22-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43488,C77060077,1044580,100401409101,11,B30,27-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C77172276,1044823,100401409101,11,B30,30-Oct-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C18652418,1044982,100401409101,11,B30,3-Nov-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43487,C77196507,1045688,100401409101,11,B30,12-Nov-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
5,43488,C9876495,1045897,100401409101,11,B30,16-Nov-20,Almendra Cubiertas Con Chocolate Bitter Cj 5 Kg.,Televenta,5
